"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042119","GO:0042119","neutrophil activation","193/3670","498/18670",1.3837597983313e-23,3.88582606874988e-20,2.98371806210059e-20,"ANXA2/LRMP/SIGLEC5/HVCN1/JUP/RAB37/PLAC8/CD63/PTPN6/TMC6/VCL/RAB7A/XRCC6/SELL/CD53/BIN2/ARHGAP45/ARHGAP9/RAB10/B4GALT1/PSMD1/TMEM179B/RAB5C/PSMC3/PSMD14/VNN1/CR1/PSMC2/MAPK1/DOK3/TBC1D10C/RHOA/ITGAX/PSMD2/GSTP1/VPS35L/ACLY/MGST1/XRCC5/NCSTN/STK10/LAMP2/CCT2/CD300A/VCP/APEH/DOCK2/FCGR3B/CD59/PTPRC/CEACAM3/UNC13D/ILF2/PSEN1/PSMD3/DNASE1/ADGRE3/PGAM1/ATP6AP2/ACTR10/TMEM63A/ALDOA/FUCA2/RAC1/IMPDH1/GMFG/ITGAL/TCIRG1/LPCAT1/ITGAM/CRISPLD2/TUBB4B/ARL8A/COPB1/C6orf120/KCNAB2/HEXB/SIRPB1/AMPD3/ERP44/SLC44A2/CYBB/COMMD3/LAIR1/SURF4/RAP2C/PSMA2/ADAM8/RAB6A/ATP6V0A1/PKM/ITGAV/DEGS1/GPI/CLEC12A/A1BG/PSMD7/PGM1/DNAJC3/CD55/SLC2A5/PRDX6/CFP/NCKAP1L/CAPN1/CTSB/SPTAN1/ANXA3/F2RL1/RAB24/DYNC1LI1/ALOX5/IQGAP1/CYB5R3/PRKCD/MAGT1/LAMP1/CTSH/VAPA/RAB5B/PPIA/PSMB1/CPPED1/CRACR2A/DIAPH1/TOM1/PAFAH1B2/COTL1/ATP8B4/MMP25/IGF2R/NFAM1/FCN1/PYCARD/VAMP7/PDAP1/SRP14/NIT2/FCGR2B/CSTB/MNDA/TUBB/SERPINA3/UBR4/PSAP/PA2G4/DNASE1L1/LILRA2/RAB31/CKAP4/TRPM2/VAT1/DYNC1H1/FGR/ITGB2/SDCBP/FTL/TMBIM1/GSN/ADA2/NDUFC2/ATP6V0C/RAB18/PSMB7/ATP11A/GLB1/PSMD11/GNS/NBEAL2/HGSNAT/BCR/SYNGR1/CYSTM1/TLR2/IL18/GSDMD/CREG1/QSOX1/TNFRSF1B/FLG2/PTPRJ/PGM2/RNASET2/TMEM30A/TXNDC5/CXCR1/CAP1/FUCA1/PSMA5/RAB14/STOM/FAF2/AGA",193
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","190/3670","488/18670",1.64533287107889e-23,3.88582606874988e-20,2.98371806210059e-20,"ANXA2/LRMP/SIGLEC5/HVCN1/JUP/RAB37/PLAC8/CD63/PTPN6/TMC6/VCL/RAB7A/XRCC6/SELL/CD53/BIN2/ARHGAP45/ARHGAP9/RAB10/B4GALT1/PSMD1/TMEM179B/RAB5C/PSMC3/PSMD14/VNN1/CR1/PSMC2/MAPK1/DOK3/TBC1D10C/RHOA/ITGAX/PSMD2/GSTP1/VPS35L/ACLY/MGST1/XRCC5/NCSTN/STK10/LAMP2/CCT2/CD300A/VCP/APEH/DOCK2/FCGR3B/CD59/PTPRC/CEACAM3/UNC13D/ILF2/PSEN1/PSMD3/DNASE1/ADGRE3/PGAM1/ATP6AP2/ACTR10/TMEM63A/ALDOA/FUCA2/RAC1/IMPDH1/GMFG/ITGAL/TCIRG1/LPCAT1/ITGAM/CRISPLD2/TUBB4B/ARL8A/COPB1/C6orf120/KCNAB2/HEXB/SIRPB1/AMPD3/ERP44/SLC44A2/CYBB/COMMD3/LAIR1/SURF4/RAP2C/PSMA2/ADAM8/RAB6A/ATP6V0A1/PKM/ITGAV/DEGS1/GPI/CLEC12A/A1BG/PSMD7/PGM1/DNAJC3/CD55/SLC2A5/PRDX6/CFP/NCKAP1L/CAPN1/CTSB/SPTAN1/ANXA3/RAB24/DYNC1LI1/ALOX5/IQGAP1/CYB5R3/PRKCD/MAGT1/LAMP1/CTSH/VAPA/RAB5B/PPIA/PSMB1/CPPED1/CRACR2A/DIAPH1/TOM1/PAFAH1B2/COTL1/ATP8B4/MMP25/IGF2R/NFAM1/FCN1/PYCARD/VAMP7/PDAP1/SRP14/NIT2/CSTB/MNDA/TUBB/SERPINA3/UBR4/PSAP/PA2G4/DNASE1L1/LILRA2/RAB31/CKAP4/TRPM2/VAT1/DYNC1H1/FGR/ITGB2/SDCBP/FTL/TMBIM1/GSN/ADA2/NDUFC2/ATP6V0C/RAB18/PSMB7/ATP11A/GLB1/PSMD11/GNS/NBEAL2/HGSNAT/BCR/SYNGR1/CYSTM1/TLR2/GSDMD/CREG1/QSOX1/TNFRSF1B/FLG2/PTPRJ/PGM2/RNASET2/TMEM30A/TXNDC5/CXCR1/CAP1/FUCA1/PSMA5/RAB14/STOM/FAF2/AGA",190
"GO:0002446","GO:0002446","neutrophil mediated immunity","193/3670","499/18670",1.82833723435534e-23,3.88582606874988e-20,2.98371806210059e-20,"ANXA2/LRMP/SIGLEC5/HVCN1/JUP/RAB37/PLAC8/CD63/PTPN6/TMC6/VCL/RAB7A/XRCC6/SELL/CD53/BIN2/ARHGAP45/ARHGAP9/RAB10/B4GALT1/PSMD1/TMEM179B/RAB5C/PSMC3/PSMD14/VNN1/CR1/PSMC2/MAPK1/DOK3/TBC1D10C/RHOA/ITGAX/PSMD2/GSTP1/VPS35L/ACLY/MGST1/XRCC5/NCSTN/STK10/LAMP2/CCT2/CD300A/VCP/APEH/DOCK2/FCGR3B/CD59/PTPRC/CEACAM3/UNC13D/ILF2/WDR1/PSEN1/PSMD3/DNASE1/ADGRE3/PGAM1/ATP6AP2/ACTR10/TMEM63A/ALDOA/FUCA2/RAC1/IMPDH1/GMFG/ITGAL/TCIRG1/LPCAT1/ITGAM/CRISPLD2/TUBB4B/ARL8A/COPB1/C6orf120/KCNAB2/HEXB/SIRPB1/AMPD3/ERP44/SLC44A2/CYBB/COMMD3/LAIR1/SURF4/RAP2C/PSMA2/ADAM8/RAB6A/ATP6V0A1/PKM/ITGAV/DEGS1/GPI/CLEC12A/A1BG/PSMD7/PGM1/DNAJC3/CD55/IRAK4/SLC2A5/PRDX6/CFP/NCKAP1L/CAPN1/CTSB/SPTAN1/ANXA3/F2RL1/RAB24/DYNC1LI1/ALOX5/IQGAP1/CYB5R3/PRKCD/MAGT1/LAMP1/CTSH/VAPA/RAB5B/PPIA/ADAM17/PSMB1/CPPED1/CRACR2A/DIAPH1/TOM1/PAFAH1B2/COTL1/ATP8B4/MMP25/IGF2R/NFAM1/FCN1/PYCARD/VAMP7/PDAP1/SRP14/NIT2/CSTB/MNDA/TUBB/SERPINA3/UBR4/PSAP/PA2G4/DNASE1L1/RAB31/CKAP4/TRPM2/VAT1/DYNC1H1/FGR/ITGB2/SDCBP/FTL/TMBIM1/GSN/ADA2/NDUFC2/ATP6V0C/RAB18/PSMB7/ATP11A/GLB1/PSMD11/GNS/NBEAL2/HGSNAT/BCR/SYNGR1/CYSTM1/TLR2/GSDMD/CREG1/QSOX1/TNFRSF1B/FLG2/PTPRJ/PGM2/RNASET2/TMEM30A/TXNDC5/CXCR1/CAP1/FUCA1/PSMA5/RAB14/STOM/FAF2/AGA",193
"GO:0043312","GO:0043312","neutrophil degranulation","188/3670","485/18670",5.16596609483768e-23,6.92821962633234e-20,5.31980939742319e-20,"ANXA2/LRMP/SIGLEC5/HVCN1/JUP/RAB37/PLAC8/CD63/PTPN6/TMC6/VCL/RAB7A/XRCC6/SELL/CD53/BIN2/ARHGAP45/ARHGAP9/RAB10/B4GALT1/PSMD1/TMEM179B/RAB5C/PSMC3/PSMD14/VNN1/CR1/PSMC2/MAPK1/DOK3/TBC1D10C/RHOA/ITGAX/PSMD2/GSTP1/VPS35L/ACLY/MGST1/XRCC5/NCSTN/STK10/LAMP2/CCT2/CD300A/VCP/APEH/DOCK2/FCGR3B/CD59/PTPRC/CEACAM3/UNC13D/ILF2/PSEN1/PSMD3/ADGRE3/PGAM1/ATP6AP2/ACTR10/TMEM63A/ALDOA/FUCA2/RAC1/IMPDH1/GMFG/ITGAL/TCIRG1/LPCAT1/ITGAM/CRISPLD2/TUBB4B/ARL8A/COPB1/C6orf120/KCNAB2/HEXB/SIRPB1/AMPD3/ERP44/SLC44A2/CYBB/COMMD3/LAIR1/SURF4/RAP2C/PSMA2/ADAM8/RAB6A/ATP6V0A1/PKM/ITGAV/DEGS1/GPI/CLEC12A/A1BG/PSMD7/PGM1/DNAJC3/CD55/SLC2A5/PRDX6/CFP/NCKAP1L/CAPN1/CTSB/SPTAN1/ANXA3/RAB24/DYNC1LI1/ALOX5/IQGAP1/CYB5R3/PRKCD/MAGT1/LAMP1/CTSH/VAPA/RAB5B/PPIA/PSMB1/CPPED1/CRACR2A/DIAPH1/TOM1/PAFAH1B2/COTL1/ATP8B4/MMP25/IGF2R/NFAM1/FCN1/PYCARD/VAMP7/PDAP1/SRP14/NIT2/CSTB/MNDA/TUBB/SERPINA3/UBR4/PSAP/PA2G4/DNASE1L1/RAB31/CKAP4/TRPM2/VAT1/DYNC1H1/FGR/ITGB2/SDCBP/FTL/TMBIM1/GSN/ADA2/NDUFC2/ATP6V0C/RAB18/PSMB7/ATP11A/GLB1/PSMD11/GNS/NBEAL2/HGSNAT/BCR/SYNGR1/CYSTM1/TLR2/GSDMD/CREG1/QSOX1/TNFRSF1B/FLG2/PTPRJ/PGM2/RNASET2/TMEM30A/TXNDC5/CXCR1/CAP1/FUCA1/PSMA5/RAB14/STOM/FAF2/AGA",188
"GO:0042110","GO:0042110","T cell activation","182/3670","464/18670",5.43304550371106e-23,6.92821962633234e-20,5.31980939742319e-20,"RIPOR2/GNRH1/CAMK4/JAK3/TESPA1/NLRC3/LILRB1/FANCD2/PTPN6/FUT7/CORO1A/PIK3CD/ADORA2A/ANXA1/MSN/WAS/AIRE/ABL1/PRKAR1A/ZBTB1/CARD11/SLAMF6/BCL11B/LAT/JAML/DOCK8/BTLA/RASAL3/CCDC88B/VNN1/CR1/RUNX2/CLECL1/GRAP2/SASH3/ZMIZ1/KLRK1/PAG1/RHOA/GPR18/LCK/TREML2/NCSTN/TCF7/CCR6/CD300A/PIK3R1/SIRPG/IL12RB1/DOCK2/PTPRC/IL7/FANCA/PSEN1/IL23A/LAX1/CSK/SPN/CASP8/PTPN11/TMEM131L/TNFSF14/RAC1/BTN3A1/SDC4/ITGAL/VAV1/TCIRG1/PDCD1/ZAP70/BTN2A2/CDH26/SIT1/CASP3/TNFSF4/DUSP3/CDC42/AP3B1/TMIGD2/ERBB2/P2RX7/CD40LG/TNFSF11/APBB1IP/LCP1/IL12A/CD6/SIRPB1/RHOH/EOMES/CD3G/ADAM8/CGAS/MYB/THEMIS/STAT3/IL4R/CD2/ICOS/BATF/PRNP/TNFSF13B/CCR7/CD55/RAC2/NOD2/NCKAP1L/CLEC4G/MALT1/F2RL1/CTLA4/TIGIT/TNFAIP8L2/MICB/CD3E/CD274/FOXN1/CLPTM1/LEF1/ADAM17/IL4/CD1C/RASGRP1/ZC3H8/IRF4/LGALS9/CD27/PYCARD/FCGR2B/PRDX2/SH3RF1/HLX/TNFRSF13C/FOXP3/TNFRSF14/CXADR/SELENOK/RUNX3/KDELR1/CCL19/CTNNB1/TBX21/SLC46A2/PTPN22/IGF1/GSN/LIG4/IL1B/SOD1/ITK/PIK3CG/CD3D/CD83/GATA3/YES1/CD7/ADA/RORA/IL18/ELF4/TWSG1/CAV1/TFRC/HHLA2/TNFRSF1B/IL6R/PDE5A/IL7R/CD80/ARG2/PLA2G2D/CD28/RARA/CD70/TNFSF8/IFNE/HLA-DOA/ZBTB7B/IFNG/HLA-DMB/NCAPH2/STOML2",182
"GO:0050863","GO:0050863","regulation of T cell activation","134/3670","314/18670",5.17373675513069e-21,5.49795759178555e-18,4.22158765756366e-18,"RIPOR2/GNRH1/CAMK4/JAK3/TESPA1/LILRB1/FANCD2/PTPN6/CORO1A/ADORA2A/ANXA1/ABL1/PRKAR1A/ZBTB1/CARD11/LAT/DOCK8/BTLA/RASAL3/CCDC88B/VNN1/CR1/CLECL1/GRAP2/SASH3/ZMIZ1/KLRK1/PAG1/RHOA/LCK/CD300A/PIK3R1/SIRPG/IL12RB1/PTPRC/IL7/FANCA/IL23A/LAX1/CSK/SPN/PTPN11/TMEM131L/TNFSF14/RAC1/SDC4/VAV1/PDCD1/ZAP70/BTN2A2/SIT1/CASP3/TNFSF4/DUSP3/CDC42/AP3B1/TMIGD2/ERBB2/CD40LG/TNFSF11/IL12A/CD6/SIRPB1/ADAM8/CGAS/MYB/IL4R/CD2/ICOS/PRNP/TNFSF13B/CCR7/CD55/RAC2/NOD2/NCKAP1L/CLEC4G/MALT1/CTLA4/TIGIT/TNFAIP8L2/CD3E/CD274/FOXN1/CLPTM1/IL4/RASGRP1/ZC3H8/IRF4/LGALS9/CD27/PYCARD/FCGR2B/PRDX2/SH3RF1/HLX/TNFRSF13C/FOXP3/TNFRSF14/SELENOK/RUNX3/CCL19/CTNNB1/TBX21/SLC46A2/PTPN22/IGF1/GSN/IL1B/SOD1/CD83/GATA3/YES1/ADA/IL18/TWSG1/CAV1/TFRC/HHLA2/TNFRSF1B/IL6R/PDE5A/IL7R/CD80/ARG2/PLA2G2D/CD28/RARA/CD70/TNFSF8/HLA-DOA/ZBTB7B/IFNG/HLA-DMB",134
"GO:0030098","GO:0030098","lymphocyte differentiation","141/3670","353/18670",6.66338906393646e-19,6.0693955245227e-16,4.66036429118323e-16,"ATM/CAMK4/JAK3/TESPA1/FANCD2/POU2F2/IKZF1/PTPN6/FUT7/PIK3CD/CD79B/ANXA1/AIRE/ABL1/CD19/ZBTB1/CARD11/SLAMF6/BCL11B/BTK/MS4A1/VNN1/CR1/RUNX2/PLCG2/SASH3/ZMIZ1/PTK2B/ITGB1/RHOA/GPR18/FCRL3/LCK/TCF7/CCR6/PIK3R1/IL12RB1/INPP5D/DOCK2/PTPRC/IL7/C17orf99/INHBA/FANCA/DOCK10/IL23A/AICDA/SPN/TMEM131L/LYL1/VAV1/TCIRG1/ZAP70/BTN2A2/TNFSF4/AP3B1/ERBB2/CD40LG/IL12A/RHOH/EOMES/DCLRE1C/ITGA4/CD3G/ADAM8/MYB/CLCF1/THEMIS/MIR17HG/STAT3/IL4R/CD2/HMGB3/BATF/CCR7/NCKAP1L/CR2/MALT1/DCAF1/CTLA4/TLR9/CD3E/IKZF3/FOXN1/CLPTM1/HDAC9/LEF1/ADAM17/IL4/SPI1/RASGRP1/PCID2/ZC3H8/IRF4/CD79A/NFAM1/LGALS9/CD27/PPP2R3C/FCGR2B/PRDX2/SH3RF1/HLX/FOXP3/TOX/ATP11C/SLAMF8/FLT3LG/RUNX3/KDELR1/CCL19/CTNNB1/TBX21/SLC46A2/PTPN22/LIG4/SOD1/ITK/TCF3/CD3D/BLNK/CD83/GATA3/ADA/RORA/IL18/MFNG/IL7R/PTPRJ/CD80/PLA2G2D/CD28/PGLYRP2/RARA/TNFSF8/IFNE/HLA-DOA/ZBTB7B/IFNG/LRRC8A/NCAPH2",141
"GO:0050852","GO:0050852","T cell receptor signaling pathway","94/3670","202/18670",3.92727763204795e-18,3.13004027274221e-15,2.40339056140198e-15,"KCNN4/TESPA1/PTPN6/NECTIN2/PIK3CD/WAS/ABL1/CARD11/PSMD1/BTN2A1/LAT/PSMC3/BTK/PSMB2/TXK/PSMD14/PSMC2/MAPK1/PLCG2/GRAP2/PAG1/PSMD2/LCP2/LCK/CD300A/PIK3R1/CD247/INPP5D/CACNA1F/PTPRC/PSMA3/PSEN1/PSMC1/PSMD3/EZR/CSK/PSME3/BTN3A1/PSMC4/ZAP70/BTN2A2/PSMD8/DUSP3/PSMA1/PSMB6/EIF2B1/PSMA6/CD3G/PSMA2/UBASH3A/IKBKB/THEMIS/PSMB5/PRNP/CCR7/PSMD7/BTN3A3/BCAR1/MALT1/PSMB8/CTLA4/BTN1A1/SKP1/CD3E/SPPL3/PSMB1/PSMC5/EIF2B2/PSMA7/SKAP1/BTN3A2/FOXP3/FYB1/PSMF1/LIME1/CHUK/PTPN22/ITK/CD3D/PSMB7/PSMD11/GATA3/TRAT1/ADA/HHLA2/PTPRJ/BTNL3/CD28/PSMB4/RBCK1/RFTN1/PSMA4/PSMA5/STOML2",94
"GO:0033209","GO:0033209","tumor necrosis factor-mediated signaling pathway","81/3670","167/18670",3.86020115185215e-17,2.7347380604677e-14,2.0998591295046e-14,"AIM2/CARD8/ACTN4/TNFRSF12A/RFFL/PSMD1/BIRC3/PSMC3/PSMB2/PSMD14/PSMC2/PTK2B/PSMD2/GSTP1/TRAF1/LTB/PSMA3/PSMC1/PSMD3/CASP1/TNFRSF25/KRT8/CASP8/PSME3/TNFSF14/KRT18/PSMC4/TNF/PSMD8/TNFSF4/PSMA1/CD40LG/PSMB6/HIPK1/TNFSF11/LTA/PSMA6/TAX1BP1/CD40/PSMA2/IKBKB/EDAR/PSMB5/TNFSF13B/PSMD7/F2RL1/PSMB8/PLVAP/CARD16/TRAF3/ADAM17/PSMB1/PSMC5/ILK/PSMA7/CD27/PYCARD/TNFRSF8/LTBR/TNFRSF13C/TNFRSF14/TRADD/PSMF1/ADIPOQ/TNFRSF1A/CHUK/BIRC2/PSMB7/PSMD11/OTULIN/TNFRSF1B/TNFAIP3/PSMB4/TRAIP/CD70/TNFSF8/RBCK1/PSMA4/TNFRSF13B/CASP4/PSMA5",81
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","132/3670","337/18670",5.91910301412048e-17,3.77402008180322e-14,2.89786822301835e-14,"RIPOR2/GNRH1/JAK3/TESPA1/LILRB1/PTPN6/CORO1A/ADORA2A/ANXA1/SELL/MSN/PRKAR1A/ZBTB1/CARD11/DOCK8/BTLA/RASAL3/CCDC88B/VNN1/CLECL1/GRAP2/SASH3/ZMIZ1/KLRK1/PAG1/ITGB1/RHOA/LCK/SEMA4D/STK10/CD300A/PIK3R1/SIRPG/IL12RB1/PTPRC/IL7/IL23A/LAX1/EZR/CSK/SPN/PTPN11/TMEM131L/TNFSF14/RAC1/SDC4/ITGAL/VAV1/PDCD1/ZAP70/TNF/BTN2A2/CASP3/TNFSF4/DUSP3/CDC42/AP3B1/TMIGD2/ERBB2/CD40LG/TNFSF11/IL12A/CD6/SIRPB1/ADD2/ITGA4/ADAM8/MYB/IL4R/ICOS/PRNP/FERMT3/TNFSF13B/CCR7/CD55/RAC2/NOD2/NCKAP1L/CLEC4G/ITGB7/MALT1/CTLA4/TIGIT/TNFAIP8L2/ADTRP/CD3E/CD274/IL4/RASGRP1/ZC3H8/SKAP1/LGALS9/ASS1/CD27/PYCARD/FCGR2B/PRDX2/HLX/TNFRSF13C/FOXP3/TNFRSF14/SELENOK/RUNX3/CCL19/TBX21/ITGB2/PTPN22/IGF1/IL1B/CD83/GATA3/YES1/ADA/IL18/TWSG1/CAV1/TFRC/HHLA2/IL6R/PDE5A/IL7R/CD80/ARG2/NFAT5/PLA2G2D/CD28/SELPLG/RARA/CD70/ZBTB7B/IFNG/HLA-DMB",132
